iter	Logloss
165	0.405998975
166	0.4054180384
167	0.4048263431
168	0.4040926099
169	0.4035262764
170	0.402903825
171	0.4022512138
172	0.4017366767
173	0.4012763798
174	0.4006766081
175	0.4001298547
176	0.3996796012
177	0.3988294005
178	0.3984009027
179	0.3977152705
180	0.3972548842
181	0.3967769742
182	0.3963369131
183	0.3960934877
184	0.395473063
185	0.3947037458
186	0.3941634893
187	0.3935482502
188	0.3928244114
189	0.3923031688
190	0.3915183246
191	0.3909983635
192	0.3903293312
193	0.3900823593
194	0.3897823095
195	0.3893224001
196	0.3885781169
197	0.3880168498
198	0.3876053691
199	0.3869033456
200	0.3864896894
201	0.3861234784
202	0.3857222199
203	0.385343492
204	0.3848517537
205	0.3842792213
206	0.3837390542
207	0.3832579553
208	0.3829115629
209	0.3822833896
210	0.3817333281
211	0.3813801408
212	0.3809635937
213	0.3799824715
214	0.3797160387
215	0.3792445362
216	0.3788626492
217	0.3786537647
218	0.3780492544
219	0.3775682449
220	0.3773103952
221	0.376925528
222	0.3763041198
223	0.3759049773
224	0.3753107786
225	0.3747977912
226	0.3741804361
227	0.3737721145
228	0.3733710945
229	0.3728894889
230	0.3724316061
231	0.3719849586
232	0.3716003001
233	0.3712971807
234	0.3708977401
235	0.3704329431
236	0.3699834943
237	0.3693806231
238	0.3689970672
239	0.3687947989
240	0.3683328629
241	0.3675586581
242	0.367241025
243	0.3670549095
244	0.3668164015
245	0.3665720224
246	0.3660614491
247	0.3657665551
248	0.3655596673
249	0.3648919165
250	0.3643119633
251	0.3638985157
252	0.3635601997
253	0.3630464673
254	0.3626599908
255	0.3618632257
256	0.3614804745
257	0.3610808551
258	0.3607352972
259	0.3604066968
260	0.360044539
261	0.3595536351
262	0.3591791391
263	0.3589048982
264	0.3585756123
265	0.3582771122
266	0.3579574227
267	0.3575260043
268	0.3570979834
269	0.3567918241
270	0.356408447
271	0.3560950756
272	0.3555745482
273	0.3552260399
274	0.3548477292
275	0.3544876277
276	0.3541478217
277	0.3536876738
278	0.3533395529
279	0.3530644178
280	0.3528961539
281	0.3526307344
282	0.3524240553
283	0.3520990908
284	0.3514600992
285	0.3510619402
286	0.3507864177
287	0.3501150012
288	0.3498764634
289	0.3496770561
290	0.3495296836
291	0.3488333821
292	0.348674655
293	0.3483360112
294	0.3478828669
295	0.3477071226
296	0.3475166559
297	0.3472719193
298	0.346929431
299	0.3463832736
300	0.3460966349
301	0.3456517458
302	0.3454580903
303	0.3452688158
304	0.3449000418
305	0.3443636894
306	0.3441000581
307	0.3439383209
308	0.3430837095
309	0.3427465558
310	0.3424645066
311	0.3421784043
312	0.3417979777
313	0.3415390551
314	0.3412497044
315	0.3406776786
316	0.340136975
317	0.3399367929
318	0.339561224
319	0.3391724229
320	0.3385136127
321	0.3380606771
322	0.3378096223
323	0.3374648094
324	0.3372879624
325	0.3371717632
326	0.336922586
327	0.3363454342
328	0.3360123634
329	0.3356773853
330	0.3351202011
331	0.3348931968
332	0.3344563246
333	0.3342482448
334	0.3341000676
335	0.3339135051
336	0.3335187435
337	0.3331457376
338	0.3327218592
339	0.3326242268
340	0.3322021961
341	0.3319788575
342	0.3317213655
343	0.331420511
344	0.3311862946
345	0.3309106827
346	0.3306683004
347	0.3303593993
348	0.3300144076
349	0.3297052681
350	0.3294232488
351	0.3286288977
352	0.3285473287
353	0.3282390237
354	0.3280647397
355	0.3276783824
356	0.3271778822
357	0.3269159794
358	0.326654762
359	0.3261518776
360	0.325884372
361	0.32572034
362	0.3254619837
363	0.3250390589
364	0.3247404099
365	0.3245482743
366	0.3241593838
367	0.3238084316
368	0.3233917058
369	0.3231936991
370	0.323050499
371	0.3227383494
372	0.322448045
373	0.3223398328
374	0.3219808638
375	0.3217621744
376	0.3210175633
377	0.3207612634
378	0.3204763532
379	0.3204060197
380	0.320232749
381	0.3196645975
382	0.3194138408
383	0.3188225627
384	0.3184294701
385	0.3181263506
386	0.3176322579
387	0.3172346354
388	0.3169679046
389	0.316845119
390	0.3165106475
391	0.3163787127
392	0.3161575794
393	0.3157604337
394	0.3154943585
395	0.3151910901
396	0.3150804043
397	0.3149528205
398	0.3148200214
399	0.314609766
400	0.3144777417
401	0.3141621351
402	0.3140591979
403	0.3137299716
404	0.3134928942
405	0.3132901192
406	0.3129988909
407	0.3126566112
408	0.3124070168
409	0.3120239973
410	0.3118992448
411	0.3117016554
412	0.3112331033
413	0.3109877408
414	0.3106019497
415	0.3102743626
416	0.3099880517
417	0.3095646799
418	0.3092423379
419	0.3089844584
420	0.3087976873
421	0.3086630702
422	0.3080604374
423	0.3079288006
424	0.3077269197
425	0.3074829876
426	0.3071614504
427	0.3067298234
428	0.3064009547
429	0.3063281178
430	0.3060888052
431	0.3060254753
432	0.3058713377
433	0.3054257631
434	0.3051531911
435	0.3050242066
436	0.3047443032
437	0.3044742644
438	0.304189682
439	0.3039454818
440	0.3035680652
441	0.3034294248
442	0.3033823073
443	0.3032259941
444	0.3029661179
445	0.3026918471
446	0.3024630547
447	0.3021796346
448	0.3021703064
449	0.301858604
450	0.3014025986
451	0.3010126352
452	0.3007998765
453	0.3004100919
454	0.3002150953
455	0.3001350164
456	0.2998428047
457	0.299739629
458	0.2996397316
459	0.2993067503
460	0.2991210222
461	0.2986472845
462	0.2984360158
463	0.298258543
464	0.2981812358
465	0.2978905141
466	0.297757864
467	0.2976336777
468	0.2973100841
469	0.2971619666
470	0.2967909575
471	0.2966489792
472	0.2965009511
473	0.2962464094
474	0.2960577607
475	0.2958693504
476	0.2957498431
477	0.2955991626
478	0.2954625487
479	0.2951768637
480	0.294811666
481	0.2947183847
482	0.2942203283
483	0.2939237356
484	0.2936885357
485	0.2934124172
486	0.2931133509
487	0.2927424908
488	0.2925774157
489	0.2922812402
490	0.2920308411
491	0.2917758524
492	0.2914867401
493	0.291292727
494	0.2912786007
495	0.2910998464
496	0.2909369469
497	0.2908031344
498	0.2906318903
499	0.290356636
