iter	Logloss
0	0.687820673
1	0.6837170124
2	0.6800548434
3	0.6758109927
4	0.6706112623
5	0.6662643552
6	0.6620479822
7	0.657908082
8	0.653994441
9	0.6497298479
10	0.6458652616
11	0.6415259838
12	0.6377946138
13	0.6347533464
14	0.6309632659
15	0.6278345585
16	0.6236627102
17	0.6196547747
18	0.6163295507
19	0.6132970452
20	0.6103689671
21	0.6069132686
22	0.6030224562
23	0.5994855165
24	0.5963929892
25	0.5937572122
26	0.5912703276
27	0.5886316895
28	0.5855218768
29	0.5827472806
30	0.5803381205
31	0.5777089596
32	0.5754781961
33	0.57231915
34	0.5693571568
35	0.5671371222
36	0.5641623735
37	0.5619189143
38	0.5596272945
39	0.5568595529
40	0.5541794896
41	0.5521656275
42	0.5498357415
43	0.5481743813
44	0.5459593534
45	0.5441511869
46	0.5421229005
47	0.5400250554
48	0.5379776955
49	0.5364586115
50	0.5344957113
51	0.5318818092
52	0.5295569301
53	0.5277372599
54	0.5257738829
55	0.5236235261
56	0.5221214294
57	0.5201300979
58	0.5178556442
59	0.5158387423
60	0.5143375397
61	0.5118881464
62	0.5100725293
63	0.5083905458
64	0.506637156
65	0.5048868656
66	0.502887249
67	0.5015106201
68	0.499178648
69	0.4969072938
70	0.4955080152
71	0.493675679
72	0.4920939505
73	0.4904298186
74	0.4892922044
75	0.4884358048
76	0.486535728
77	0.4844232798
78	0.4829861224
79	0.4814254642
80	0.4801241159
81	0.4792273045
82	0.4779830873
83	0.4770508707
84	0.476039052
85	0.4746737778
86	0.4730836153
87	0.4717594981
88	0.4704277813
89	0.4694167972
90	0.4680413604
91	0.4669352174
92	0.4656354487
93	0.4643301964
94	0.4632698298
95	0.4618471563
96	0.4605882764
97	0.4595763683
98	0.4585198462
99	0.4577305019
100	0.4565175772
101	0.4556254148
102	0.4548343122
103	0.4537299871
104	0.4527893662
105	0.4519188106
106	0.4508890212
107	0.4497428536
108	0.4485195875
109	0.4475194812
110	0.4466736913
111	0.4460708499
112	0.444742918
113	0.4440837502
114	0.4432619214
115	0.4421168268
116	0.4412535429
117	0.440341264
118	0.4391723871
119	0.4381939173
120	0.4372004271
121	0.4364443421
122	0.4358594418
123	0.4346236587
124	0.4339613914
125	0.4329681695
126	0.432246387
127	0.4312020242
128	0.430480361
129	0.4298320413
130	0.429194808
131	0.4283085465
132	0.42758286
133	0.4269063175
134	0.425963223
135	0.4251896739
136	0.4240590632
137	0.4234443009
138	0.4226191044
139	0.4220260978
140	0.4211318791
141	0.4202572703
142	0.4193986654
143	0.4189133644
144	0.4184438288
145	0.4176762402
146	0.4170717895
147	0.4164569378
148	0.4157269299
149	0.4152928591
150	0.414729476
151	0.4138663709
152	0.4130552411
153	0.4126448333
154	0.4119410217
155	0.411452055
156	0.4108628035
157	0.4105069637
158	0.40995574
159	0.4094309211
160	0.408713311
161	0.4082530141
162	0.4075998664
163	0.4070737362
164	0.406661272
